image_name,piece_value,piece_type,area,bbox_x,bbox_y,bbox_w,bbox_h
Screenshot from 2025-10-29 21-01-33_mask.png,1,rook,788.5,159,114,27,42
Screenshot from 2025-10-29 21-01-33_mask.png,2,pawn,487.0,203,126,22,33
Screenshot from 2025-10-29 21-01-33_mask.png,3,pawn,476.0,412,126,22,33
Screenshot from 2025-10-29 21-01-33_mask.png,4,rook,754.5,462,113,28,42
Screenshot from 2025-10-29 21-01-33_mask.png,5,knight,758.0,152,156,29,36
Screenshot from 2025-10-29 21-01-33_mask.png,6,pawn,514.0,201,162,23,33
Screenshot from 2025-10-29 21-01-33_mask.png,7,pawn,479.0,420,162,22,33
Screenshot from 2025-10-29 21-01-33_mask.png,8,knight,742.0,458,163,29,36
Screenshot from 2025-10-29 21-01-33_mask.png,10,pawn,522.5,421,192,23,34
Screenshot from 2025-10-29 21-01-33_mask.png,12,pawn,534.0,195,202,24,34
Screenshot from 2025-10-29 21-01-33_mask.png,13,king,1161.0,144,221,33,54
Screenshot from 2025-10-29 21-01-33_mask.png,14,king,1143.0,464,222,36,53
Screenshot from 2025-10-29 21-01-33_mask.png,15,pawn,548.5,192,245,25,33
Screenshot from 2025-10-29 21-01-33_mask.png,16,pawn,545.5,427,246,24,33
Screenshot from 2025-10-29 21-01-33_mask.png,9,queen,682.0,156,192,27,40
Screenshot from 2025-10-29 21-01-33_mask.png,17,queen,1199.0,144,269,34,51
Screenshot from 2025-10-29 21-01-33_mask.png,18,queen,1197.5,464,267,37,52
Screenshot from 2025-10-29 21-01-33_mask.png,19,pawn,567.5,190,286,25,34
Screenshot from 2025-10-29 21-01-33_mask.png,20,pawn,581.0,426,292,26,35
Screenshot from 2025-10-29 21-01-33_mask.png,22,pawn,573.5,421,325,25,34
Screenshot from 2025-10-29 21-01-33_mask.png,24,pawn,588.0,186,329,26,33
Screenshot from 2025-10-29 21-01-33_mask.png,25,pawn,608.0,428,381,26,34
Screenshot from 2025-10-29 21-01-33_mask.png,26,pawn,599.5,189,382,26,33
Screenshot from 2025-10-29 21-01-33_mask.png,27,knight,859.5,128,385,34,36
Screenshot from 2025-10-29 21-01-33_mask.png,28,rook,970.5,121,429,33,42
Screenshot from 2025-10-29 21-01-33_mask.png,29,pawn,647.0,186,431,27,34
Screenshot from 2025-10-29 21-01-33_mask.png,30,rook,989.5,481,425,33,42
Screenshot from 2025-10-29 21-01-33_mask.png,31,pawn,618.0,427,431,27,33
WhatsApp Image 2025-10-29 at 3.15.11 PM_mask.png,1,rook,11403.5,1514,81,100,168
WhatsApp Image 2025-10-29 at 3.15.11 PM_mask.png,2,knight,8960.5,1361,81,94,170
WhatsApp Image 2025-10-29 at 3.15.11 PM_mask.png,4,king,15909.0,1031,48,112,220
