image_name,piece_value,piece_type,area,bbox_x,bbox_y,bbox_w,bbox_h
63.png_mask.png,1,rook,6154.5,339,106,79,128
63.png_mask.png,2,bishop,5027.0,897,112,67,122
63.png_mask.png,3,pawn,4013.5,476,126,62,100
63.png_mask.png,4,pawn,3677.0,1027,138,62,98
63.png_mask.png,5,queen,8651.5,565,255,83,160
63.png_mask.png,6,pawn,3924.5,923,229,60,98
63.png_mask.png,7,pawn,4093.5,479,312,63,95
63.png_mask.png,8,pawn,3952.5,921,326,62,93
63.png_mask.png,9,rook,7538.5,292,508,96,124
63.png_mask.png,10,queen,9500.5,819,612,90,147
63.png_mask.png,11,pawn,4658.5,1087,651,76,92
63.png_mask.png,12,king,12425.5,1218,709,150,152
63.png_mask.png,13,rook,7782.5,415,772,96,116
63.png_mask.png,14,pawn,4565.5,826,779,70,90
63.png_mask.png,15,pawn,4632.0,715,791,71,92
63.png_mask.png,16,king,11186.5,977,860,123,138
63.png_mask.png,17,pawn,5140.0,551,920,76,90
68.png_mask.png,1,rook,6266.5,331,103,80,129
68.png_mask.png,2,bishop,5206.0,905,109,66,121
68.png_mask.png,3,pawn,3830.5,471,123,58,100
68.png_mask.png,4,pawn,3691.5,1022,135,63,98
68.png_mask.png,5,pawn,3919.0,583,217,60,98
68.png_mask.png,6,pawn,3987.0,917,226,61,99
68.png_mask.png,7,pawn,4219.5,472,311,64,96
68.png_mask.png,8,pawn,4058.0,916,323,63,95
68.png_mask.png,9,rook,7513.0,284,507,96,125
68.png_mask.png,10,king,10671.5,946,598,108,152
68.png_mask.png,11,queen,9593.5,813,612,91,147
68.png_mask.png,12,king,12935.5,1216,713,147,152
68.png_mask.png,13,rook,7769.0,407,773,98,116
68.png_mask.png,14,pawn,4717.5,709,792,72,92
68.png_mask.png,15,queen,12207.0,1248,882,151,132
66.png_mask.png,1,rook,6158.0,340,106,79,128
66.png_mask.png,2,bishop,5024.0,897,112,68,122
66.png_mask.png,3,pawn,4035.5,477,126,62,101
66.png_mask.png,4,pawn,3654.5,1027,138,63,98
66.png_mask.png,5,pawn,3871.5,590,219,60,98
66.png_mask.png,6,pawn,3920.0,923,229,61,98
66.png_mask.png,7,pawn,4192.5,479,313,65,95
66.png_mask.png,8,pawn,8519.5,901,326,120,114
66.png_mask.png,9,rook,7505.0,293,508,95,124
66.png_mask.png,10,queen,8973.5,819,612,90,144
66.png_mask.png,11,pawn,4498.0,942,652,68,91
66.png_mask.png,12,king,12370.5,1220,709,148,153
66.png_mask.png,13,king,10296.5,827,739,103,140
66.png_mask.png,14,rook,7812.0,416,772,96,116
66.png_mask.png,15,pawn,4626.5,715,791,72,92
66.png_mask.png,16,queen,10285.0,543,878,102,133
78.png_mask.png,1,queen,8097.5,331,71,93,160
78.png_mask.png,2,pawn,4073.0,476,125,62,101
78.png_mask.png,3,pawn,3684.0,1027,137,63,98
78.png_mask.png,4,pawn,3873.5,590,218,59,98
78.png_mask.png,5,pawn,3924.5,923,228,61,98
78.png_mask.png,6,pawn,4089.0,479,312,63,95
78.png_mask.png,7,pawn,4039.5,921,324,63,95
78.png_mask.png,8,king,10813.5,1179,465,131,162
78.png_mask.png,9,rook,7219.5,428,504,85,122
78.png_mask.png,10,pawn,4543.0,817,646,69,93
78.png_mask.png,11,king,12066.5,1224,710,147,144
81.png_mask.png,1,pawn,4062.5,476,126,62,101
81.png_mask.png,2,pawn,3677.0,1027,137,63,98
81.png_mask.png,3,pawn,3879.0,590,219,59,98
81.png_mask.png,4,pawn,3951.0,924,228,60,99
81.png_mask.png,5,pawn,4089.5,479,313,63,94
81.png_mask.png,6,pawn,3980.5,921,325,63,94
81.png_mask.png,7,king,10641.5,1180,466,130,161
81.png_mask.png,8,rook,6879.5,935,507,86,122
81.png_mask.png,9,pawn,4528.0,956,653,68,92
81.png_mask.png,10,king,12023.0,1225,711,146,143
81.png_mask.png,11,queen,12127.0,219,889,142,134
86.png_mask.png,1,pawn,3812.0,474,125,58,100
86.png_mask.png,2,pawn,3623.5,1024,137,63,97
86.png_mask.png,3,pawn,3868.5,586,219,60,98
86.png_mask.png,4,pawn,3964.0,919,228,61,98
86.png_mask.png,5,pawn,3970.0,801,318,60,95
86.png_mask.png,6,pawn,3918.0,696,320,61,95
86.png_mask.png,7,king,9991.5,1152,351,121,168
86.png_mask.png,8,rook,6905.0,931,508,86,122
86.png_mask.png,9,king,11528.0,1208,594,148,150
86.png_mask.png,10,pawn,4508.5,953,655,68,91
86.png_mask.png,11,queen,9699.5,828,895,100,133
64.png_mask.png,1,rook,6157.5,339,108,80,129
64.png_mask.png,2,pawn,4989.5,896,115,68,122
64.png_mask.png,3,pawn,3804.0,478,129,58,99
64.png_mask.png,4,pawn,3614.0,1027,141,62,97
64.png_mask.png,5,pawn,3877.5,589,222,60,98
64.png_mask.png,6,pawn,3902.5,923,231,60,98
64.png_mask.png,7,pawn,4077.0,479,316,63,94
64.png_mask.png,8,pawn,4035.5,921,328,63,95
64.png_mask.png,9,rook,7512.0,292,511,96,123
64.png_mask.png,10,queen,9505.0,819,615,90,146
64.png_mask.png,11,pawn,4610.0,1087,654,77,92
64.png_mask.png,12,king,12310.5,1219,712,149,152
64.png_mask.png,13,rook,7742.0,415,775,97,115
64.png_mask.png,14,pawn,4569.0,826,781,70,91
64.png_mask.png,15,pawn,4657.5,715,794,71,91
64.png_mask.png,16,king,11164.0,976,863,124,137
64.png_mask.png,17,queen,10249.0,543,881,101,133
69.png_mask.png,1,rook,6172.5,339,106,79,129
69.png_mask.png,2,bishop,5072.5,911,112,65,121
69.png_mask.png,3,pawn,4072.0,476,127,63,100
69.png_mask.png,4,pawn,3656.0,1027,138,62,98
69.png_mask.png,5,pawn,3868.0,590,219,59,98
69.png_mask.png,6,pawn,3939.5,923,228,60,99
69.png_mask.png,7,pawn,4211.0,478,313,65,95
69.png_mask.png,8,pawn,9430.0,900,326,120,114
69.png_mask.png,9,king,10243.0,1065,468,115,158
69.png_mask.png,10,rook,7517.5,292,508,96,124
69.png_mask.png,11,queen,9467.5,819,612,90,147
69.png_mask.png,12,king,12230.5,1222,712,144,151
69.png_mask.png,13,rook,7772.0,415,773,96,115
69.png_mask.png,14,pawn,4630.0,715,791,71,92
69.png_mask.png,15,queen,12119.5,1251,881,151,132
80.png_mask.png,1,pawn,4040.5,477,126,61,101
80.png_mask.png,2,pawn,3678.0,1028,137,62,98
80.png_mask.png,3,pawn,3898.5,590,219,60,98
80.png_mask.png,4,pawn,3937.5,924,228,60,99
80.png_mask.png,5,pawn,4105.5,479,312,63,95
80.png_mask.png,6,pawn,3961.5,922,325,62,94
80.png_mask.png,7,king,10883.0,1179,464,131,164
80.png_mask.png,8,rook,6909.5,935,507,86,122
80.png_mask.png,9,pawn,4454.5,818,646,68,93
80.png_mask.png,10,king,12037.0,1225,711,146,144
80.png_mask.png,11,queen,12170.0,220,889,141,134
61.png_mask.png,1,rook,6154.0,339,107,80,128
61.png_mask.png,2,bishop,5126.5,913,109,64,123
61.png_mask.png,3,pawn,3942.5,477,127,61,100
61.png_mask.png,4,pawn,3637.0,1027,139,62,98
61.png_mask.png,5,pawn,2235.0,597,220,52,94
61.png_mask.png,6,pawn,3930.0,923,229,60,99
61.png_mask.png,7,queen,8663.0,565,256,83,160
61.png_mask.png,8,pawn,4087.5,479,314,63,95
61.png_mask.png,9,pawn,10258.0,900,327,121,114
61.png_mask.png,10,rook,7544.0,292,509,96,124
61.png_mask.png,11,queen,9476.5,819,613,90,147
61.png_mask.png,12,pawn,4635.0,1087,652,76,92
61.png_mask.png,13,king,12273.5,1202,720,155,143
61.png_mask.png,14,rook,7785.5,415,773,96,116
61.png_mask.png,15,pawn,4570.5,826,779,70,91
61.png_mask.png,16,pawn,4616.5,715,792,71,92
61.png_mask.png,17,king,10740.0,838,876,102,143
61.png_mask.png,18,pawn,5082.0,551,921,75,90
61.png_mask.png,19,pawn,5057.0,984,922,80,87
74.png_mask.png,1,rook,6165.5,339,106,80,128
74.png_mask.png,2,pawn,4079.5,476,126,63,101
74.png_mask.png,3,pawn,3694.5,1027,138,63,98
74.png_mask.png,4,pawn,3877.0,590,219,59,98
74.png_mask.png,5,pawn,3942.0,924,228,60,99
74.png_mask.png,6,pawn,4155.5,479,313,64,95
74.png_mask.png,7,bishop,5839.0,1154,312,89,115
74.png_mask.png,8,pawn,4014.5,921,325,63,94
74.png_mask.png,9,king,10584.5,1184,465,129,160
74.png_mask.png,10,rook,7076.0,1063,499,96,120
74.png_mask.png,11,rook,7300.5,409,509,90,122
74.png_mask.png,12,queen,9511.0,819,612,91,148
74.png_mask.png,13,king,12216.0,1223,713,143,150
74.png_mask.png,14,queen,10701.5,1088,722,126,141
74.png_mask.png,15,pawn,4642.0,715,792,72,91
72.png_mask.png,1,rook,6170.5,339,105,80,129
72.png_mask.png,2,pawn,4040.5,476,126,62,101
72.png_mask.png,3,pawn,3671.5,1027,138,63,98
72.png_mask.png,4,pawn,3869.5,590,219,59,98
72.png_mask.png,5,pawn,3919.5,924,229,60,98
72.png_mask.png,6,bishop,5829.5,1154,312,90,115
72.png_mask.png,7,pawn,4180.5,479,313,64,95
72.png_mask.png,8,pawn,4022.5,921,325,63,95
72.png_mask.png,9,king,10662.0,1184,466,129,159
72.png_mask.png,10,rook,7511.0,293,508,95,124
72.png_mask.png,11,queen,9507.5,819,612,90,148
72.png_mask.png,12,king,11966.5,1224,713,142,150
72.png_mask.png,13,queen,10672.5,1087,722,127,141
72.png_mask.png,15,pawn,4636.0,715,792,72,91
77.png_mask.png,1,rook,6182.5,339,106,80,129
77.png_mask.png,2,pawn,4112.5,476,127,63,101
77.png_mask.png,3,pawn,3685.0,1027,138,63,98
77.png_mask.png,4,pawn,3872.5,590,220,60,97
77.png_mask.png,5,pawn,3922.0,924,229,60,98
77.png_mask.png,6,pawn,4208.0,479,313,64,95
77.png_mask.png,7,pawn,3982.5,922,326,62,94
77.png_mask.png,8,king,10840.0,1179,466,131,163
77.png_mask.png,9,rook,7196.0,429,505,84,122
77.png_mask.png,10,pawn,4504.0,817,647,69,93
77.png_mask.png,11,king,12512.5,1221,711,150,147
77.png_mask.png,12,queen,10706.0,1088,723,126,140
84.png_mask.png,1,pawn,4050.5,477,126,61,101
84.png_mask.png,2,pawn,3681.5,1027,137,63,99
84.png_mask.png,3,pawn,3904.0,590,219,60,98
84.png_mask.png,4,pawn,3948.5,924,228,60,98
84.png_mask.png,5,pawn,4092.0,479,313,63,94
84.png_mask.png,6,pawn,3934.5,805,318,60,95
84.png_mask.png,7,king,9991.5,1155,352,121,167
84.png_mask.png,8,rook,6873.5,936,507,85,122
84.png_mask.png,9,pawn,4507.5,956,653,68,93
84.png_mask.png,10,king,12234.0,1222,717,154,143
84.png_mask.png,11,queen,9713.5,833,894,99,132
67.png_mask.png,1,rook,6142.5,339,108,80,129
67.png_mask.png,2,bishop,5083.0,911,115,65,121
